Date,DayofWeek,Visitor,Home,HomeGameNum,DayNight,Attendance,HomeAllStar,VisitorAllStar,HomeWinPct,VisitorWinPct
20160411,Mon,TEX,SEA,7,N,13468,1,1,0.3333333333333333,0.42857142857142855
20160411,Mon,CIN,CHN,7,N,40882,0,1,0.8333333333333334,0.8333333333333334
20160411,Mon,MIA,NYN,6,N,24318,0,1,0.4,0.25
20160411,Mon,SDN,PHI,7,D,45229,1,0,0.3333333333333333,0.3333333333333333
20160411,Mon,MIL,SLN,7,D,47608,0,0,0.5,0.5
20160411,Mon,ATL,WAS,5,N,18119,0,1,0.75,0
20160412,Tue,BAL,BOS,7,N,31114,6,3,0.5,1
20160412,Tue,PIT,DET,6,D,26489,1,1,0.6,0.7142857142857143
20160412,Tue,KCA,HOU,8,N,21027,3,0,0.42857142857142855,0.6666666666666666
20160412,Tue,ANA,OAK,9,N,13492,0,0,0.5,0.42857142857142855
20160412,Tue,TEX,SEA,8,N,13376,1,1,0.2857142857142857,0.5
20160412,Tue,CLE,TBA,7,N,10283,0,5,0.3333333333333333,0.5
20160412,Tue,NYA,TOR,8,N,28819,3,0,0.42857142857142855,0.6
20160412,Tue,SFN,COL,7,N,20814,4,0,0.5,0.7142857142857143
20160412,Tue,ARI,LAN,8,D,53279,0,2,0.5714285714285714,0.2857142857142857
20160412,Tue,MIA,NYN,7,N,28923,0,1,0.3333333333333333,0.4
20160412,Tue,SDN,PHI,8,N,21043,1,0,0.2857142857142857,0.42857142857142855
20160412,Tue,ATL,WAS,6,N,18378,0,1,0.8,0
20160413,Wed,BAL,BOS,8,N,31011,6,3,0.42857142857142855,1
20160413,Wed,KCA,HOU,9,N,24109,3,0,0.375,0.7142857142857143
20160413,Wed,CHA,MIN,8,N,21008,0,0,0,0.7142857142857143
20160413,Wed,ANA,OAK,10,D,11216,0,0,0.4444444444444444,0.5
20160413,Wed,TEX,SEA,9,D,15075,1,1,0.25,0.5555555555555556
20160413,Wed,CLE,TBA,8,N,10117,0,5,0.42857142857142855,0.4
20160413,Wed,NYA,TOR,9,N,27938,3,0,0.375,0.6666666666666666
20160413,Wed,CIN,CHN,8,N,36496,0,1,0.8571428571428571,0.7142857142857143
20160413,Wed,SFN,COL,8,N,21891,4,0,0.42857142857142855,0.75
20160413,Wed,ARI,LAN,9,N,44244,0,2,0.5,0.375
20160413,Wed,MIA,NYN,8,D,22113,0,1,0.2857142857142857,0.5
20160413,Wed,SDN,PHI,9,N,17638,1,0,0.375,0.375
20160413,Wed,DET,PIT,9,N,21175,1,1,0.625,0.6666666666666666
20160413,Wed,MIL,SLN,8,N,40994,0,0,0.5714285714285714,0.42857142857142855
20160413,Wed,ATL,WAS,7,N,19400,0,1,0.8333333333333334,0
20160414,Thu,KCA,HOU,10,N,21203,3,0,0.3333333333333333,0.75
20160414,Thu,CHA,MIN,9,D,19736,0,0,0,0.75
20160414,Thu,CLE,TBA,9,D,10715,0,5,0.375,0.5
20160414,Thu,BAL,TEX,11,N,22820,1,3,0.5,0.875
20160414,Thu,NYA,TOR,10,N,36238,3,0,0.4444444444444444,0.5714285714285714
20160414,Thu,CIN,CHN,9,N,34898,0,1,0.875,0.625
20160414,Thu,SFN,COL,9,D,21226,4,0,0.5,0.6666666666666666
20160414,Thu,ARI,LAN,10,N,40879,0,2,0.5555555555555556,0.3333333333333333
20160414,Thu,SDN,PHI,10,D,18079,1,0,0.4444444444444444,0.3333333333333333
20160414,Thu,DET,PIT,10,D,18751,1,1,0.5555555555555556,0.7142857142857143
20160414,Thu,MIL,SLN,9,D,40168,0,0,0.5,0.5
20160414,Thu,ATL,WAS,8,D,21144,0,1,0.8571428571428571,0
20160415,Fri,TOR,BOS,9,N,31415,6,3,0.5,0.5
20160415,Fri,NYN,CLE,8,N,15365,5,0,0.5714285714285714,0.375
20160415,Fri,DET,HOU,11,N,30092,3,1,0.3,0.75
