Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,RE24,PO,A,Details
Ben Zobrist 2B\zobribe01,2,0,0,0,0,0,2,.000,.000,.000,.000,7,4,-0.053,1.08,0.000,-0.053,-0.5,3,1,
Daniel Murphy PH-2B\murphda08,3,0,2,0,0,0,3,.667,.667,.667,1.333,13,10,0.180,1.31,0.180,0.000,1.2,1,2,
Bryce Harper RF\harpebr03,2,0,1,0,0,0,2,.500,.500,1.000,1.500,3,3,0.026,0.73,0.041,-0.015,0.2,0,0,2B
Paul Goldschmidt PH-1B\goldspa01,3,0,0,0,0,0,3,.000,.000,.000,.000,12,9,-0.158,2.22,0.000,-0.158,-1.1,2,0,
Kris Bryant 3B\bryankr01,2,1,1,1,0,1,2,.500,.500,2.000,2.500,8,5,0.040,1.29,0.105,-0.064,0.4,0,4,HR
Nolan Arenado PH-3B\arenano01,3,0,0,0,0,1,3,.000,.000,.000,.000,8,6,-0.160,1.68,0.000,-0.160,-1.1,1,1,GDP
Wil Myers DH\myerswi01,3,0,1,0,0,1,3,.333,.333,.667,1.000,12,6,0.017,0.73,0.048,-0.031,0.0,,,2B
Brandon Belt PH\beltbr01,1,0,0,0,0,0,1,.000,.000,.000,.000,6,3,-0.036,1.42,0.000,-0.036,-0.2,,,
Buster Posey C\poseybu01,1,1,0,0,1,0,2,.000,.500,.000,.500,6,2,0.004,0.70,0.025,-0.021,0.0,2,0,
Wilson Ramos C\ramoswi01,1,0,0,0,0,1,1,.000,.000,.000,.000,3,3,-0.075,2.56,0.000,-0.075,-0.6,2,0,
Jonathan Lucroy C\lucrojo01,1,0,1,0,0,0,1,1.000,1.000,1.000,2.000,7,5,0.044,0.94,0.044,0.000,0.3,2,0,
Anthony Rizzo 1B\rizzoan01,2,0,1,0,0,0,2,.500,.500,.500,1.000,6,4,0.047,0.86,0.061,-0.014,0.5,5,0,
Jay Bruce RF\bruceja01,2,0,0,0,0,2,2,.000,.000,.000,.000,8,6,-0.077,1.58,0.000,-0.077,-0.5,0,0,
Marcell Ozuna CF\ozunama01,2,0,1,1,0,1,2,.500,.500,.500,1.000,10,7,0.060,1.14,0.070,-0.010,0.6,1,0,
Odubel Herrera CF\herreod01,1,0,0,0,0,0,1,.000,.000,.000,.000,3,1,-0.020,0.84,0.000,-0.020,-0.2,1,0,
Starling Marte PH-CF\martest01,1,0,1,0,0,0,1,1.000,1.000,1.000,2.000,1,1,0.035,1.20,0.035,0.000,0.2,0,0,
Carlos Gonzalez LF\gonzaca01,2,0,1,0,0,0,2,.500,.500,.500,1.000,8,5,-0.013,1.70,0.041,-0.054,-0.1,1,0,
Adam Duvall LF\duvalad01,1,0,0,0,1,0,2,.000,.500,.000,.500,11,7,0.049,1.58,0.062,-0.013,0.2,2,0,
Addison Russell SS\russead02,2,0,0,0,0,0,2,.000,.000,.000,.000,5,4,-0.087,1.81,0.000,-0.087,-0.8,0,0,
Corey Seager SS\seageco01,1,0,0,0,0,1,1,.000,.000,.000,.000,5,3,-0.033,1.32,0.000,-0.033,-0.2,1,0,
Aledmys Diaz PH-SS\diazal02,1,0,0,0,0,1,1,.000,.000,.000,.000,6,3,-0.130,5.17,0.000,-0.130,-0.8,0,0,
,,,,,,,,,,,,,,,,,,,,,
Johnny Cueto P\cuetojo01,,,,,,,,,,,,,,,,,,,0,0,
Jose Fernandez P\fernajo02,,,,,,,,,,,,,,,,,,,0,1,
Drew Pomeranz P\pomerdr01,,,,,,,,,,,,,,,,,,,0,0,
Julio Teheran P\teherju01,,,,,,,,,,,,,,,,,,,0,0,
Max Scherzer P\scherma01,,,,,,,,,,,,,,,,,,,0,0,
Jon Lester P\lestejo01,,,,,,,,,,,,,,,,,,,0,0,
Mark Melancon P\melanma01,,,,,,,,,,,,,,,,,,,0,0,
Fernando Rodney P\rodnefe01,,,,,,,,,,,,,,,,,,,0,0,
Kenley Jansen P\janseke01,,,,,,,,,,,,,,,,,,,0,0,
Team Totals,37,2,10,2,2,9,39,.270,,,,148,97,-0.340,0.00,0.712,-1.051,-2.3,24,9,
