Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,RE24,PO,A,Details
Mike Trout CF\troutmi01,3,2,1,1,1,1,4,.333,.500,1.333,1.833,16,9,0.078,1.12,0.139,-0.062,0.9,2,0,HR
Brock Holt PR-LF\holtbr01,1,1,0,0,0,1,1,.000,.000,.000,.000,5,3,0.031,0.77,0.032,-0.001,0.0,2,0,SB
Josh Donaldson 3B\donaljo02,0,0,0,0,2,0,2,,1.000,,,12,4,0.045,0.61,0.045,0.000,0.5,0,2,
Manny Machado PH-3B\machama01,2,1,1,1,0,0,2,.500,.500,1.000,1.500,12,8,0.060,1.42,0.098,-0.037,0.7,0,2,2B
Mike Moustakas PH-3B\moustmi01,1,0,0,0,0,1,1,.000,.000,.000,.000,4,3,-0.001,0.04,0.000,-0.001,-0.1,0,0,
Albert Pujols 1B\pujolal01,2,1,0,0,1,1,3,.000,.333,.000,.333,14,7,-0.028,1.11,0.027,-0.055,-0.4,6,0,
Mark Teixeira 1B\teixema01,2,0,0,0,0,1,2,.000,.000,.000,.000,9,5,-0.004,0.38,0.000,-0.004,-0.3,5,0,
Nelson Cruz DH\cruzne02,2,0,0,0,0,1,2,.000,.000,.000,.000,5,4,-0.051,1.06,0.000,-0.051,-0.5,,,
Prince Fielder PH\fieldpr01,1,0,1,2,0,0,2,1.000,.500,1.000,1.500,4,4,0.174,1.64,0.174,0.000,1.2,,,SF
Lorenzo Cain RF\cainlo01,3,0,2,1,0,0,3,.667,.667,1.000,1.667,5,4,0.141,1.08,0.160,-0.020,1.2,2,0,2B
J.D. Martinez RF\martijd02,1,0,0,0,0,0,1,.000,.000,.000,.000,1,1,-0.004,0.16,0.000,-0.004,-0.1,1,0,
Adam Jones LF\jonesad01,2,0,0,0,0,1,2,.000,.000,.000,.000,9,5,-0.054,1.13,0.000,-0.054,-0.5,0,0,
Brett Gardner PH-LF-CF\gardnbr01,2,0,0,0,0,2,2,.000,.000,.000,.000,9,6,-0.049,0.86,0.000,-0.049,-0.8,0,0,
Salvador Perez C\perezsa02,2,0,0,0,0,2,2,.000,.000,.000,.000,18,12,0.018,0.79,0.032,-0.014,0.1,4,0,
Stephen Vogt C\vogtst01,1,0,0,0,0,1,1,.000,.000,.000,.000,3,3,-0.015,0.62,0.000,-0.015,-0.2,3,0,
Russell Martin PH-C\martiru01,1,0,0,0,0,1,1,.000,.000,.000,.000,3,3,-0.004,0.16,0.000,-0.004,-0.1,1,1,
Jose Altuve 2B\altuvjo01,2,0,0,0,0,0,2,.000,.000,.000,.000,5,4,-0.070,1.30,0.000,-0.070,-0.6,0,0,
Jason Kipnis 2B\kipnija01,1,0,0,0,0,1,1,.000,.000,.000,.000,4,3,-0.011,0.45,0.000,-0.011,-0.1,0,2,
Brian Dozier PH-2B\doziebr01,1,1,1,1,0,0,1,1.000,1.000,4.000,5.000,4,3,0.037,0.21,0.037,0.000,1.0,0,0,HR
Alcides Escobar SS\escobal02,2,0,1,0,0,0,2,.500,.500,.500,1.000,8,5,0.023,1.09,0.048,-0.025,0.2,0,2,
Jose Iglesias PH-SS\iglesjo01,2,0,0,0,0,1,2,.000,.000,.000,.000,8,8,-0.009,0.18,0.000,-0.009,-0.2,1,1,
,,,,,,,,,,,,,,,,,,,,,
Dallas Keuchel P\keuchda01,,,,,,,,,,,,,,,,,,,0,0,
Felix Hernandez P\hernafe02,,,,,,,,,,,,,,,,,,,0,0,
David Price P\priceda01,,,,,,,,,,,,,,,,,,,0,0,
Chris Archer P\archech01,,,,,,,,,,,,,,,,,,,0,0,
Zach Britton P\brittza01,,,,,,,,,,,,,,,,,,,0,0,
Dellin Betances P\betande01,,,,,,,,,,,,,,,,,,,0,0,
Wade Davis P\daviswa01,,,,,,,,,,,,,,,,,,,0,0,
Glen Perkins P\perkigl01,,,,,,,,,,,,,,,,,,,0,0,
Team Totals,34,6,7,6,4,15,39,.206,,,,158,104,0.307,0.00,0.792,-0.486,1.8,27,10,
